unemployment,violent_total
6.192,718.9
6.067,695.7
5.225,780.7
4.742,625.3
4.717,600.9
5.817,677
6.65,696.8
6.85,875.2
6.175,1001.9
5.567,945.2
5.033,811.3
4.4,798.7
4.225,643.6
3.983,569.9
4.167,524.2
5.183,589.2
5.633,639.3
5.083,616
4.3,616.4
4.092,608
4.05,748.8
4.492,754.9
6.708,729.7
11.3,705.2
13.525,663
13.033,568.1
11.167,608.6
9.625,605
7.925,635.6
6.525,86.3
5.458,113.1
3.825,118.8
3.208,139.9
4.525,179.8
5.167,147.1
6.792,124.8
5.517,125.1
4.292,133.9
3.725,140.8
2.792,139.5
2.317,149.6
2.4,147.9
3.467,168.5
5.658,131.5
7.3,119.3
7.283,125.7
6.15,137.8
4.733,116.8
3.975,114.5
3.825,118.2
3.325,113.2
2.825,107.2
2.708,96.5
2.658,175.4
3.442,170.2
4.467,161.3
4.308,150.3
3.767,169.5
3.558,135
3.425,138.8
3.525,144.1
3.85,156.1
6.225,160.4
5.833,167.4
5.392,217.3
5.5,215
5.092,223.2
4.275,196.1
10.4,396.8
9.367,392
7.258,423.5
6.925,501.2
7.183,604.4
7.45,630.6
8.742,607.4
8.033,553.1
6.192,527.7
5.625,544.5
5.017,572.5
4.092,541
3.817,582.8
4.1,609
5.058,647.6
6.7,634.8
8.358,625.8
7.6,626.9
6.825,614.2
6.408,599.8
6.15,531.5
5.258,492.6
4.592,440.2
4.517,411.9
3.7,383.8
4.258,388.8
5.775,376.1
5.833,364.3
4.842,356.3
4.492,355
4.717,350.2
4.292,328.6
5.333,326.5
9.058,311.4
9.517,307.5
9.35,307.9
9.342,290.1
8.225,288.9
6.767,261.2
8.858,554.4
7.642,500.9
5.933,528.2
6.383,586
7.567,615
7.292,671.7
9.217,734.5
9.683,686.8
7.825,688.1
8.333,703.9
9.317,725.6
8.725,628.5
7.492,658.1
6.708,703.9
6.567,780.2
7.133,834.8
7.183,934.9
6.975,929.7
6.483,889.2
6.567,819.2
7.2,840.6
6.317,853.3
6.067,961.4
5.575,834.6
4.925,757.9
4.925,780.4
5.542,740.7
5.858,667.3
5.5,687.4
5.117,646
4.167,654.7
3.75,675.7
4.45,653.5
7.533,632.4
8.1,588
7.525,572.7
7.133,559.6
6.933,622.5
6.658,597.4
10.233,868.1
9.15,831.8
7.758,841
7.167,917.4
7.475,1029.5
7.6,1069.6
8.475,990.1
8.675,914.1
7.167,914.3
6.617,929.9
6.233,985.9
4.892,1008.1
4.275,1097.3
4.975,1131.2
5.325,1180.9
7.242,1163.9
8.608,1122.1
7.908,1073.5
6.958,965.6
6.342,841.9
6.242,727
6.433,688.6
5.608,637.8
5.175,588.8
4.55,553.9
4.825,513.6
6.158,496.6
6.358,465.8
5.8,440.4
5.017,444
4.533,435.2
4.558,414.4
5.425,397.9
8.333,384.4
8.608,394.4
8.292,397.2
8.508,406.3
7.725,393.8
6.325,381.8
6.258,403.4
5.908,407.1
4.483,413.4
4.75,446.1
6.392,455
6.508,436.7
9.2,446.3
8.992,409.6
6.725,403.6
5.583,420.9
5.283,475.9
4.533,484
3.642,501.9
3.525,546.4
4.1,623.5
5.783,658.4
6.05,681
5.033,679.3
4.383,655
4.3,646.4
4.3,588.1
3.75,607
3.45,579.4
3.192,542.1
3.667,497.6
5.517,493.1
6.658,471
6.375,454.1
5.492,447.8
5.233,469
4.75,475.2
4.725,466.1
6.1,467.6
10.575,404.5
10.85,362.7
10.275,346.3
9.292,353.5
7.992,341
6.308,329.5
3.708,71.9
4.567,67.1
4.258,67
4.025,61.3
4.933,54
4.842,67.5
5.55,61.8
5.667,53.7
5.283,53.6
5.7,47
5.85,51.3
5.025,56.8
4.692,59.1
4.308,63.2
4.017,73.9
4.375,65.4
4.75,83.3
4.292,82.2
3.725,81.8
3.233,86.7
2.925,84
2.717,87.2
2.883,89.3
3.275,66.9
2.975,81.4
2.933,79.3
3.733,78.2
3.733,80.2
3.433,87.7
3.4,111
3.217,197.4
3.117,209.9
3.167,224.6
4.142,266.4
3.792,229.5
3.5,248.1
3.067,245.7
2.917,273.4
2.675,265.1
7.792,388.7
6.55,406.7
5.467,412.7
5.85,457.5
8.35,498.3
9.433,496.6
12.7,436.7
12.367,397.9
9.467,385.3
8.908,381.6
8.258,420.9
7.092,421.3
6.05,452
5.567,468.6
5.633,506.2
6.475,561.8
7.392,525.9
6.642,504.1
5.583,485.8
4.8,482.5
5.017,428.7
4.642,435.4
4.325,362.5
4.292,316.4
3.975,334.1
4.292,351.4
5.733,351.7
6.242,333.9
6.267,338.7
5.933,350
5.392,361.5
5.55,355.4
6.433,352
10.317,331.9
10.258,314.7
8.85,305.2
7.392,301.5
7.45,291.4
5.808,284.9
5.717,286.6
4.942,316.6
3.625,353
3.392,405.2
4.417,419.5
3.625,426.8
6,443.9
8.367,423.4
7.05,407.5
7.217,422
8.233,436.4
7.275,417.6
6.442,434.5
5.65,491.5
5.692,547.5
6.317,583.7
6.017,622.8
5.933,634.8
5.583,651.5
4.583,664.1
4.083,597.1
4.083,559.5
4.25,539.4
3.517,508.2
3.042,497.8
3.675,510.9
4.642,504
5.475,506.4
4.883,500.5
4.467,509
4.017,500.2
4.1,504.1
3.733,531.5
6.358,503.4
6.8,481.4
5.892,457.5
5.233,474.4
5.292,446.1
4.492,406
9.392,457.4
7.475,455.8
6.058,502.4
6.692,545.4
8.475,490.4
9.792,478.7
11.542,473
10.792,487.8
9.442,506.1
